num_tuples;db_size_mb;it;result_set_size_mb;exec_time
100000;46.5391;0;0.3779;0.0630
100000;46.5391;1;0.3779;0.0230
100000;46.5391;2;0.3779;0.0210
100000;46.5391;3;0.3779;0.0210
100000;46.5391;4;0.3779;0.0210
100000;46.5391;5;0.3779;0.0210
100000;46.5391;6;0.3779;0.0210
100000;46.5391;7;0.3779;0.0210
100000;46.5391;8;0.3779;0.0210
100000;46.5391;9;0.3779;0.0210
100000;46.5391;10;0.3779;0.0220
100000;46.5391;11;0.3779;0.0210
100000;46.5391;12;0.3779;0.0220
100000;46.5391;13;0.3779;0.0210
100000;46.5391;14;0.3779;0.0220
100000;46.5391;15;0.3779;0.0210
100000;46.5391;16;0.3779;0.0210
100000;46.5391;17;0.3779;0.0210
100000;46.5391;18;0.3779;0.0210
100000;46.5391;19;0.3779;0.0210
100000;46.5391;20;0.3779;0.0220
100000;46.5391;21;0.3779;0.0220
100000;46.5391;22;0.3779;0.0220
100000;46.5391;23;0.3779;0.0220
100000;46.5391;24;0.3779;0.0210
100000;46.5391;25;0.3779;0.0220
100000;46.5391;26;0.3779;0.0210
100000;46.5391;27;0.3779;0.0220
100000;46.5391;28;0.3779;0.0210
100000;46.5391;29;0.3779;0.0220
100000;46.5391;30;0.3779;0.0210
100000;46.5391;31;0.3779;0.0220
100000;46.5391;32;0.3779;0.0210
100000;46.5391;33;0.3779;0.0210
100000;46.5391;34;0.3779;0.0210
100000;46.5391;35;0.3779;0.0210
100000;46.5391;36;0.3779;0.0210
100000;46.5391;37;0.3779;0.0210
100000;46.5391;38;0.3779;0.0210
100000;46.5391;39;0.3779;0.0210
100000;46.5391;40;0.3779;0.0220
100000;46.5391;41;0.3779;0.0210
100000;46.5391;42;0.3779;0.0220
100000;46.5391;43;0.3779;0.0210
100000;46.5391;44;0.3779;0.0220
100000;46.5391;45;0.3779;0.0210
100000;46.5391;46;0.3779;0.0210
100000;46.5391;47;0.3779;0.0210
100000;46.5391;48;0.3779;0.0210
100000;46.5391;49;0.3779;0.0210
100000;46.5391;50;0.3779;0.0210
100000;46.5391;51;0.3779;0.0210
100000;46.5391;52;0.3779;0.0210
100000;46.5391;53;0.3779;0.0210
100000;46.5391;54;0.3779;0.0210
100000;46.5391;55;0.3779;0.0220
100000;46.5391;56;0.3779;0.0210
100000;46.5391;57;0.3779;0.0220
100000;46.5391;58;0.3779;0.0210
100000;46.5391;59;0.3779;0.0220
100000;46.5391;60;0.3779;0.0210
100000;46.5391;61;0.3779;0.0220
100000;46.5391;62;0.3779;0.0210
100000;46.5391;63;0.3779;0.0210
100000;46.5391;64;0.3779;0.0210
100000;46.5391;65;0.3779;0.0210
100000;46.5391;66;0.3779;0.0210
100000;46.5391;67;0.3779;0.0210
100000;46.5391;68;0.3779;0.0210
100000;46.5391;69;0.3779;0.0210
100000;46.5391;70;0.3779;0.0210
100000;46.5391;71;0.3779;0.0210
100000;46.5391;72;0.3779;0.0220
100000;46.5391;73;0.3779;0.0210
100000;46.5391;74;0.3779;0.0220
100000;46.5391;75;0.3779;0.0210
100000;46.5391;76;0.3779;0.0220
100000;46.5391;77;0.3779;0.0210
100000;46.5391;78;0.3779;0.0220
100000;46.5391;79;0.3779;0.0210
100000;46.5391;80;0.3779;0.0210
100000;46.5391;81;0.3779;0.0210
100000;46.5391;82;0.3779;0.0210
100000;46.5391;83;0.3779;0.0210
100000;46.5391;84;0.3779;0.0210
100000;46.5391;85;0.3779;0.0210
100000;46.5391;86;0.3779;0.0220
100000;46.5391;87;0.3779;0.0210
100000;46.5391;88;0.3779;0.0220
100000;46.5391;89;0.3779;0.0210
100000;46.5391;90;0.3779;0.0250
100000;46.5391;91;0.3779;0.0240
100000;46.5391;92;0.3779;0.0250
100000;46.5391;93;0.3779;0.0260
100000;46.5391;94;0.3779;0.0260
100000;46.5391;95;0.3779;0.0260
100000;46.5391;96;0.3779;0.0290
100000;46.5391;97;0.3779;0.0270
100000;46.5391;98;0.3779;0.0280
100000;46.5391;99;0.3779;0.0270
100000;46.5391;100;0.3779;0.0300
100000;46.5391;101;0.3779;0.0290
100000;46.5391;102;0.3779;0.0270
100000;46.5391;103;0.3779;0.0280
100000;46.5391;104;0.3779;0.0260
100000;46.5391;105;0.3779;0.0290
100000;46.5391;106;0.3779;0.0270
100000;46.5391;107;0.3779;0.0280
100000;46.5391;108;0.3779;0.0270
100000;46.5391;109;0.3779;0.0280
100000;46.5391;110;0.3779;0.0260
100000;46.5391;111;0.3779;0.0280
100000;46.5391;112;0.3779;0.0310
100000;46.5391;113;0.3779;0.0220
100000;46.5391;114;0.3779;0.0210
100000;46.5391;115;0.3779;0.0210
100000;46.5391;116;0.3779;0.0210
100000;46.5391;117;0.3779;0.0210
100000;46.5391;118;0.3779;0.0320
100000;46.5391;119;0.3779;0.0320
100000;46.5391;120;0.3779;0.0320
100000;46.5391;121;0.3779;0.0250
100000;46.5391;122;0.3779;0.0220
100000;46.5391;123;0.3779;0.0420
100000;46.5391;124;0.3779;0.0210
100000;46.5391;125;0.3779;0.0220
100000;46.5391;126;0.3779;0.0220
100000;46.5391;127;0.3779;0.0220
100000;46.5391;128;0.3779;0.0210
100000;46.5391;129;0.3779;0.0220
100000;46.5391;130;0.3779;0.0210
100000;46.5391;131;0.3779;0.0220
100000;46.5391;132;0.3779;0.0210
100000;46.5391;133;0.3779;0.0210
100000;46.5391;134;0.3779;0.0210
100000;46.5391;135;0.3779;0.0210
100000;46.5391;136;0.3779;0.0210
100000;46.5391;137;0.3779;0.0210
100000;46.5391;138;0.3779;0.0210
100000;46.5391;139;0.3779;0.0210
100000;46.5391;140;0.3779;0.0220
100000;46.5391;141;0.3779;0.0220
100000;46.5391;142;0.3779;0.0230
100000;46.5391;143;0.3779;0.0220
100000;46.5391;144;0.3779;0.0230
100000;46.5391;145;0.3779;0.0210
100000;46.5391;146;0.3779;0.0220
100000;46.5391;147;0.3779;0.0210
100000;46.5391;148;0.3779;0.0210
100000;46.5391;149;0.3779;0.0210
100000;46.5391;150;0.3779;0.0210
100000;46.5391;151;0.3779;0.0210
100000;46.5391;152;0.3779;0.0210
100000;46.5391;153;0.3779;0.0210
100000;46.5391;154;0.3779;0.0210
100000;46.5391;155;0.3779;0.0210
100000;46.5391;156;0.3779;0.0210
100000;46.5391;157;0.3779;0.0220
100000;46.5391;158;0.3779;0.0200
100000;46.5391;159;0.3779;0.0230
100000;46.5391;160;0.3779;0.0220
100000;46.5391;161;0.3779;0.0220
100000;46.5391;162;0.3779;0.0220
100000;46.5391;163;0.3779;0.0220
100000;46.5391;164;0.3779;0.0210
100000;46.5391;165;0.3779;0.0210
100000;46.5391;166;0.3779;0.0210
100000;46.5391;167;0.3779;0.0210
100000;46.5391;168;0.3779;0.0210
100000;46.5391;169;0.3779;0.0210
100000;46.5391;170;0.3779;0.0210
100000;46.5391;171;0.3779;0.0210
100000;46.5391;172;0.3779;0.0220
100000;46.5391;173;0.3779;0.0210
100000;46.5391;174;0.3779;0.0220
100000;46.5391;175;0.3779;0.0220
100000;46.5391;176;0.3779;0.0220
100000;46.5391;177;0.3779;0.0200
100000;46.5391;178;0.3779;0.0220
100000;46.5391;179;0.3779;0.0210
100000;46.5391;180;0.3779;0.0210
100000;46.5391;181;0.3779;0.0210
100000;46.5391;182;0.3779;0.0210
100000;46.5391;183;0.3779;0.0210
100000;46.5391;184;0.3779;0.0210
100000;46.5391;185;0.3779;0.0210
100000;46.5391;186;0.3779;0.0210
100000;46.5391;187;0.3779;0.0210
100000;46.5391;188;0.3779;0.0210
100000;46.5391;189;0.3779;0.0220
100000;46.5391;190;0.3779;0.0210
100000;46.5391;191;0.3779;0.0220
100000;46.5391;192;0.3779;0.0210
100000;46.5391;193;0.3779;0.0220
100000;46.5391;194;0.3779;0.0210
100000;46.5391;195;0.3779;0.0200
100000;46.5391;196;0.3779;0.0210
100000;46.5391;197;0.3779;0.0210
100000;46.5391;198;0.3779;0.0210
100000;46.5391;199;0.3779;0.0210
200000;93.0781;0;0.7617;0.1550
200000;93.0781;1;0.7617;0.0520
200000;93.0781;2;0.7617;0.0420
200000;93.0781;3;0.7617;0.0430
200000;93.0781;4;0.7617;0.0430
200000;93.0781;5;0.7617;0.0420
200000;93.0781;6;0.7617;0.0420
200000;93.0781;7;0.7617;0.0420
200000;93.0781;8;0.7617;0.0430
200000;93.0781;9;0.7617;0.0420
200000;93.0781;10;0.7617;0.0420
200000;93.0781;11;0.7617;0.0420
200000;93.0781;12;0.7617;0.0420
200000;93.0781;13;0.7617;0.0420
200000;93.0781;14;0.7617;0.0440
200000;93.0781;15;0.7617;0.0420
200000;93.0781;16;0.7617;0.0430
200000;93.0781;17;0.7617;0.0420
200000;93.0781;18;0.7617;0.0420
200000;93.0781;19;0.7617;0.0420
200000;93.0781;20;0.7617;0.0420
200000;93.0781;21;0.7617;0.0420
200000;93.0781;22;0.7617;0.0420
200000;93.0781;23;0.7617;0.0410
200000;93.0781;24;0.7617;0.0420
200000;93.0781;25;0.7617;0.0420
200000;93.0781;26;0.7617;0.0420
200000;93.0781;27;0.7617;0.0420
200000;93.0781;28;0.7617;0.0420
200000;93.0781;29;0.7617;0.0420
200000;93.0781;30;0.7617;0.0420
200000;93.0781;31;0.7617;0.0430
