nice_level;full;num_tuples;db_size_mb;it;exec_time;disk_freespace;swap_total_mb;swap_used_mb;swap_free_mb;filter_result_set_elem_num;max_filter_result_set_elem_num;max_hash_table_elem_num;max_final_result_set_elem_num;filter_result_set_size;hash_table_num_elem;final_result_set_size
0;no;4000000;488.2812;0;735.9230;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;1;699.4960;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;2;712.6100;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;3;708.4030;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;4;713.9680;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;5;699.8240;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;6;717.6690;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;7;707.1470;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;8;693.8190;33877323776;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;9;725.6950;33877315584;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;10;714.8400;33877315584;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;11;721.0640;33877307392;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;12;716.6720;33877282816;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;13;711.7220;33877282816;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;14;701.3680;33877282816;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;15;718.9390;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;16;701.2090;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;17;712.0350;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;18;705.0520;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;19;699.3850;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;20;721.8660;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;21;700.8470;33877155840;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;22;710.8640;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;23;701.6280;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;no;4000000;488.2812;24;706.5030;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;0;704.0340;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;1;709.8920;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;2;709.0010;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;3;707.1510;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;4;703.3540;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;5;710.2750;33877106688;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;6;718.8740;33877102592;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;7;747.2210;33875103744;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;8;739.8710;33875070976;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;9;719.8310;33875054592;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;10;732.1800;33875021824;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;11;764.6280;33874939904;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
0;yes;4000000;488.2812;12;753.2880;33874890752;0,00;0,00;0,00;400000;440001;484001;440000;400000;400000;400000
